Identificador do Imóvel;Classe do Edifício;Zoneamento;Frente do Lote;Área Total do Lote;Tipo de Rua;Tipo de Viela;Formato do Lote;Nivelamento do Terreno;Tipo de Utilidades;Configuração do Lote;Inclinação do Terreno;Bairro;Condição Principal;Condição Secundária;Tipo de Construção;Estilo da Casa;Qualidade Geral;Condição Geral;Ano de Construção;Ano da Última Reforma;Tipo de Telhado;Material do Telhado;Revestimento Externo 1;Revestimento Externo 2;Tipo de Alvenaria;Área de Alvenaria;Qualidade dos Materiais Externos;Condição dos Materiais Externos;Fundação;Qualidade do Porão;Condição do Porão;Exposição do Porão;Acabamento do Porão 1;Área Acabada do Porão 1;Acabamento do Porão 2;Área Acabada do Porão 2;Área Não Acabada do Porão;Área Total do Porão;Tipo de Aquecimento;Qualidade do Aquecimento;Ar-Condicionado Central;Sistema Elétrico;Área do Primeiro Andar;Área do Segundo Andar;Área de Baixa Qualidade;Área Útil Acima do Solo;Banheiros Completos no Porão;Lavabos no Porão;Banheiros Completos Acima do Solo;Lavabos Acima do Solo;Quartos Acima do Porão;Número de Cozinhas;Qualidade da Cozinha;Total de Cômodos Acima do Solo;Funcionalidade da Casa;Número de Lareiras;Qualidade da Lareira;Tipo de Garagem;Ano da Construção da Garagem;Acabamento Interno da Garagem;Capacidade da Garagem;Área da Garagem;Qualidade da Garagem;Condição da Garagem;Entrada Pavimentada;Área do Deck de Madeira;Área da Varanda Aberta;Área da Varanda Fechada;Área da Varanda de Três Estações;Área da Varanda Telada;Área da Piscina;Qualidade da Piscina;Tipo de Cerca;Característica Extra;Valor de Características Extras;Mês da Venda;Ano da Venda;Tipo de Venda;Condição da Venda;Preço de Venda
686;160;Residencial (Baixa Dens.);;5062;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Cul-de-sac;Suave;StoneBr;Normal;Normal;Geminada (Extremidade);Sobrado;7;5;1984;1984;Duas Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Boa;Média;Blocos de Concreto;Boa;Média;Mínima;Alto Acabamento;828;Baixo Acabamento;182;180;1190;Gás Forçado;Boa;Sim;Disjuntor;1190;900;0;2090;1;0;2;0;3;1;Boa;6;Pequeno Ajuste;1;Média;Anexada;1984;Acabado;2;577;Média;Média;Sim;219;0;0;0;0;0;;;;0;9;2007;Venda Direta;Normal;207500
687;60;Vila Planejada;84;10207;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Somerst;Normal;Normal;Casa Individual;Sobrado;7;6;2007;2007;Duas Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Boa;Média;Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;874;874;Gás Forçado;Excelente;Sim;Disjuntor;874;887;0;1761;0;0;3;0;3;1;Boa;7;Típica;0;;Anexada;2007;Acabado;2;578;Média;Média;Sim;144;105;0;0;0;0;;;;0;8;2007;Nova;Parcial;227875
688;160;Vila Planejada;;5105;Pavimentada;Sem Acesso;Moderadamente Irregular;Plano;Todas Disponíveis;Frente Dupla;Suave;Somerst;Normal;Normal;Geminada (Extremidade);Sobrado;7;5;2004;2004;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Boa;Média;Concreto;Boa;Média;Nenhuma;Alto Acabamento;239;Sem Acabamento;0;312;551;Gás Forçado;Excelente;Sim;Disjuntor;551;551;0;1102;0;0;2;1;2;1;Boa;4;Típica;0;;Separada;2004;Sem Acabamento;2;480;Média;Média;Sim;0;60;0;0;0;0;;;;0;3;2007;Venda Direta;Normal;148800
689;20;Residencial (Baixa Dens.);60;8089;Pavimentada;Sem Acesso;Regular;Alto;Todas Disponíveis;Interno;Suave;StoneBr;Normal;Normal;Casa Individual;Térrea;8;6;2007;2007;Duas Águas;Asfalto;MetalSd;MetalSd;Tijolo;0;Boa;Média;Concreto;Boa;Média;Média;Alto Acabamento;945;Sem Acabamento;0;474;1419;Gás Forçado;Excelente;Sim;Disjuntor;1419;0;0;1419;1;0;2;0;2;1;Boa;7;Típica;1;Boa;Anexada;2007;Rústico;2;567;Média;Média;Sim;140;0;0;0;0;0;;;;0;10;2007;Nova;Parcial;392000
690;120;Residencial (Baixa Dens.);61;7577;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Esquina;Suave;NridgHt;Normal;Normal;Geminada (Extremidade);Térrea;6;5;2005;2006;Duas Águas;Asfalto;VinylSd;VinylSd;Pedra;256;Boa;Média;Concreto;Boa;Média;Média;Bom Acabamento;20;Sem Acabamento;0;1342;1362;Gás Forçado;Excelente;Sim;Disjuntor;1362;0;0;1362;0;0;2;0;2;1;Boa;6;Típica;1;Boa;Anexada;2005;Rústico;2;460;Média;Média;Sim;192;28;0;0;0;0;;;;0;6;2007;Venda Direta;Normal;194700
691;120;Residencial (Média Dens.);;4426;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Geminada (Extremidade);Térrea;6;5;2004;2004;Duas Águas;Asfalto;VinylSd;VinylSd;Tijolo;147;Boa;Média;Concreto;Boa;Média;Boa;Alto Acabamento;697;Sem Acabamento;0;151;848;Gás Forçado;Excelente;Sim;Disjuntor;848;0;0;848;1;0;1;0;1;1;Boa;3;Típica;1;Média;Anexada;2004;Rústico;2;420;Média;Média;Sim;149;0;0;0;0;0;;;;0;5;2008;Venda Direta;Normal;141000
692;60;Residencial (Baixa Dens.);104;21535;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Esquina;Suave;NoRidge;Normal;Normal;Casa Individual;Sobrado;10;6;1994;1995;Duas Águas;Madeira;HdBoard;HdBoard;Tijolo;1170;Excelente;Média;Concreto;Excelente;Média;Boa;Alto Acabamento;1455;Sem Acabamento;0;989;2444;Gás Forçado;Excelente;Sim;Disjuntor;2444;1872;0;4316;0;1;3;1;4;1;Excelente;10;Típica;2;Excelente;Anexada;1994;Acabado;3;832;Média;Média;Sim;382;50;0;0;0;0;;;;0;1;2007;Venda Direta;Normal;755000
693;60;Residencial (Baixa Dens.);42;26178;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Moderada;Timber;Normal;Normal;Casa Individual;Sobrado;7;5;1989;1990;Quatro Águas;Asfalto;MetalSd;MetalSd;Tijolo;293;Boa;Média;Concreto;Boa;Média;Boa;Alto Acabamento;965;Sem Acabamento;0;245;1210;Gás Forçado;Excelente;Sim;Disjuntor;1238;1281;0;2519;1;0;2;1;4;1;Boa;9;Típica;2;Boa;Anexada;1989;Rústico;2;628;Média;Média;Sim;320;27;0;0;0;0;;;;0;4;2006;Venda Direta;Normal;335000
694;30;Residencial (Baixa Dens.);60;5400;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Íngreme;OldTown;Normal;Normal;Casa Individual;Térrea;5;6;1921;1968;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Média;Tijolo;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1073;1073;Gás Forçado;Excelente;Sim;Disjuntor;1073;0;0;1073;0;0;1;0;2;1;Média;4;Típica;0;;Separada;1968;Sem Acabamento;1;326;Média;Média;Sim;0;0;112;0;0;0;;;;0;12;2006;Venda Direta;Anormal;108480
695;50;Residencial (Média Dens.);51;6120;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;BrkSide;Normal;Normal;Casa Individual;Mezanino Finalizado;5;6;1936;1950;Duas Águas;Asfalto;Wd Sdng;Wd Sdng;Nenhum;0;Média;Razoável;Tijolo;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;927;927;Gás Forçado;Média;Sim;Disjuntor;1067;472;0;1539;0;0;1;1;3;1;Média;5;Típica;0;;Separada;1995;Sem Acabamento;2;576;Média;Média;Sim;112;0;0;0;0;0;;Média Privativa;;0;4;2009;Venda Direta;Normal;141500
696;20;Residencial (Baixa Dens.);54;13811;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;Timber;Normal;Normal;Casa Individual;Térrea;6;6;1987;1987;Duas Águas;Asfalto;HdBoard;HdBoard;Tijolo;72;Média;Média;Blocos de Concreto;Boa;Boa;Nenhuma;Alto Acabamento;980;Baixo Acabamento;40;92;1112;Gás Forçado;Boa;Sim;Disjuntor;1137;0;0;1137;1;0;2;0;2;1;Boa;5;Típica;1;Média;Anexada;1987;Sem Acabamento;2;551;Média;Média;Sim;125;0;0;0;0;0;;;;0;7;2006;Venda Direta;Normal;176000
697;30;Residencial (Média Dens.);50;6000;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;BrkSide;Normal;Normal;Casa Individual;Térrea;5;7;1921;1950;Duas Águas;Asfalto;Wd Sdng;Wd Shng;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Baixo Acabamento;616;Sem Acabamento;0;0;616;Gás Forçado;Boa;Sim;Disjuntor;616;0;0;616;0;0;1;0;2;1;Média;4;Típica;0;;Separada;1921;Sem Acabamento;1;205;Média;Média;Sim;0;0;129;0;0;0;;;;0;6;2006;Venda Direta;Normal;89000
698;20;Residencial (Baixa Dens.);57;6420;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;Edwards;Normal;Normal;Casa Individual;Térrea;5;7;1952;1952;Duas Águas;Asfalto;Wd Sdng;Wd Sdng;Nenhum;0;Média;Média;Concreto;Excelente;Boa;Mínima;Baixo Acabamento;210;Bom Acabamento;551;219;980;Gás Forçado;Fraca;Sim;Fusível Alto;1148;0;0;1148;0;1;1;0;2;1;Média;6;Típica;0;;Separada;1952;Sem Acabamento;1;308;Média;Média;Sim;0;0;0;0;0;0;;;;0;9;2006;Venda Direta;Normal;123500
699;20;Residencial (Baixa Dens.);65;8450;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Sawyer;Ferrovia (Afastado);Normal;Casa Individual;Térrea;5;8;1965;2009;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Boa;Blocos de Concreto;Média;Média;Nenhuma;Alto Acabamento;553;Baixo Acabamento;117;224;894;Gás Forçado;Excelente;Sim;Disjuntor;894;0;0;894;1;0;1;0;3;1;Média;5;Típica;1;Boa;Separada;1973;Sem Acabamento;1;336;Média;Média;Sim;416;144;0;0;0;0;;Média Privativa;;0;4;2010;Venda Direta;Normal;138500
700;120;Vila Planejada;59;4282;Pavimentada;Pavimentada;Moderadamente Irregular;Plano;Todas Disponíveis;Interno;Suave;Somerst;Normal;Normal;Geminada (Extremidade);Térrea;7;5;2004;2004;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Boa;Média;Concreto;Boa;Média;Mínima;Alto Acabamento;16;Sem Acabamento;0;1375;1391;Gás Forçado;Excelente;Sim;Disjuntor;1391;0;0;1391;0;0;2;0;2;1;Boa;5;Típica;0;;Anexada;2004;Rústico;2;530;Média;Média;Sim;156;158;0;0;0;0;;;;0;7;2008;Venda Direta;Normal;196000
701;20;Residencial (Baixa Dens.);85;14331;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Timber;Normal;Normal;Casa Individual;Térrea;8;5;2002;2002;Quatro Águas;Asfalto;VinylSd;VinylSd;Tijolo;630;Boa;Média;Concreto;Excelente;Média;Boa;Alto Acabamento;1274;Sem Acabamento;0;526;1800;Gás Forçado;Excelente;Sim;Disjuntor;1800;0;0;1800;1;0;2;0;3;1;Boa;7;Típica;1;Boa;Anexada;2002;Acabado;3;765;Média;Média;Sim;270;78;0;0;0;0;;;;0;5;2006;Venda Direta;Normal;312500
702;20;Residencial (Baixa Dens.);80;9600;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NWAmes;Normal;Normal;Casa Individual;Térrea;7;5;1969;1969;Quatro Águas;Asfalto;HdBoard;HdBoard;Tijolo;168;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1164;1164;Gás Forçado;Média;Sim;Disjuntor;1164;0;0;1164;0;0;1;1;3;1;Média;6;Típica;0;;Anexada;1969;Sem Acabamento;2;528;Média;Média;Sim;0;0;0;0;0;0;;;;0;7;2006;Venda Judicial;Normal;140000
703;60;Residencial (Baixa Dens.);82;12438;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;StoneBr;Normal;Normal;Casa Individual;Sobrado;8;5;2006;2006;Quatro Águas;Asfalto;VinylSd;VinylSd;Tijolo;466;Excelente;Média;Concreto;Excelente;Boa;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1234;1234;Gás Forçado;Excelente;Sim;Disjuntor;1264;1312;0;2576;0;0;2;1;4;1;Excelente;10;Típica;1;Boa;Embutida;2006;Acabado;3;666;Média;Média;Sim;324;100;0;0;0;0;;;;0;7;2006;Nova;Parcial;361919
704;190;Residencial (Média Dens.);76;7630;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;OldTown;Próximo a Via Alimentadora;Normal;Casa para Duas Famílias;Sobrado;5;9;1900;1996;Duas Águas;Asfalto;Wd Sdng;Wd Sdng;Nenhum;0;Média;Boa;Tijolo;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;360;360;Gás Forçado;Boa;Sim;Disjuntor;1032;780;0;1812;0;0;2;0;4;2;Boa;8;Típica;1;Pobre;Separada;1999;Sem Acabamento;2;672;Média;Média;Não;344;0;40;0;0;0;;Média Privativa;;0;5;2010;Venda Direta;Normal;140000
705;20;Residencial (Baixa Dens.);70;8400;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Casa Individual;Térrea;7;5;2004;2005;Duas Águas;Asfalto;VinylSd;VinylSd;Tijolo;109;Boa;Média;Concreto;Boa;Média;Média;Alto Acabamento;712;Sem Acabamento;0;761;1473;Gás Forçado;Excelente;Sim;Disjuntor;1484;0;0;1484;1;0;2;0;3;1;Boa;7;Típica;0;;Anexada;2004;Rústico;2;606;Média;Média;Sim;0;35;0;144;0;0;;;;0;5;2010;Venda Direta;Normal;213000
706;190;Residencial (Média Dens.);70;5600;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;IDOTRR;Normal;Normal;Casa para Duas Famílias;Sobrado;4;5;1930;1950;Quatro Águas;Asfalto;VinylSd;Wd Shng;Nenhum;0;Razoável;Razoável;Laje;;;;;0;;0;0;0;Gás Forçado;Fraca;Não;Disjuntor;372;720;0;1092;0;0;2;0;3;2;Fraca;7;Modificada;0;;;;;0;0;;;Não;0;0;0;0;0;0;;;Outro;3500;7;2010;Venda Direta;Normal;55000
707;20;Residencial (Baixa Dens.);;115149;Pavimentada;Sem Acesso;Moderadamente Irregular;Baixo;Todas Disponíveis;Cul-de-sac;Íngreme;ClearCr;Normal;Normal;Casa Individual;Térrea;7;5;1971;2002;Duas Águas;Asfalto;Plywood;Plywood;Pedra;351;Média;Média;Blocos de Concreto;Boa;Média;Boa;Alto Acabamento;1219;Sem Acabamento;0;424;1643;Gás Forçado;Média;Sim;Disjuntor;1824;0;0;1824;1;0;2;0;2;1;Boa;5;Típica;2;Média;Anexada;1971;Sem Acabamento;2;739;Média;Média;Sim;380;48;0;0;0;0;;;;0;6;2007;Venda Direta;Normal;302000
708;120;Residencial (Baixa Dens.);48;6240;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NridgHt;Normal;Normal;Geminada (Extremidade);Térrea;8;5;2006;2006;Quatro Águas;Asfalto;MetalSd;MetalSd;Tijolo;176;Boa;Média;Concreto;Boa;Média;Nenhuma;Alto Acabamento;863;Sem Acabamento;0;461;1324;Gás Forçado;Excelente;Sim;Disjuntor;1324;0;0;1324;1;0;2;0;2;1;Boa;6;Típica;1;Boa;Anexada;2006;Acabado;2;550;Média;Média;Sim;192;38;0;0;0;0;;;;0;12;2009;Venda Direta;Normal;254000
709;60;Residencial (Baixa Dens.);65;9018;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;Gilbert;Normal;Normal;Casa Individual;Sobrado;7;5;2007;2007;Quatro Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Boa;Média;Concreto;Boa;Média;Média;Sem Acabamento;0;Sem Acabamento;0;728;728;Gás Forçado;Excelente;Sim;Disjuntor;728;728;0;1456;0;0;2;1;3;1;Boa;8;Típica;1;Boa;Anexada;2007;Acabado;2;400;Média;Média;Sim;100;24;0;0;0;0;;;;0;7;2007;Nova;Parcial;179540
710;20;Residencial (Baixa Dens.);;7162;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;Sawyer;Normal;Normal;Casa Individual;Térrea;5;7;1966;1966;Duas Águas;Asfalto;HdBoard;HdBoard;Tijolo Comum;41;Média;Média;Concreto;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;876;876;Gás Forçado;Média;Sim;Disjuntor;904;0;0;904;0;0;1;0;3;1;Média;6;Típica;0;;Anexada;1966;Sem Acabamento;1;408;Média;Média;Sim;0;0;0;0;0;0;;Média Privativa;;0;12;2008;Venda Direta;Anormal;109900
711;30;Residencial (Baixa Dens.);56;4130;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;BrkSide;Normal;Normal;Casa Individual;Térrea;3;6;1935;2003;Duas Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Boa;Média;Blocos de Concreto;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;270;270;Gás Forçado;Boa;Sim;Disjuntor;729;0;0;729;0;0;1;0;2;1;Média;5;Grandes Ajustes;0;;;;;0;0;;;Não;0;0;0;0;0;0;;;;0;7;2008;Venda Direta;Normal;52000
712;50;Comercial;66;8712;Pavimentada;Pavimentada;Regular;Alto;Todas Disponíveis;Interno;Moderada;IDOTRR;Normal;Normal;Casa Individual;Mezanino Finalizado;4;7;1900;1950;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Média;Pedra;Média;Média;Mínima;Sem Acabamento;0;Sem Acabamento;0;859;859;Gás Forçado;Boa;Sim;Disjuntor;859;319;0;1178;0;0;1;0;2;1;Média;7;Típica;0;;Separada;1964;Rústico;1;384;Média;Média;Não;68;0;98;0;0;0;;;;0;1;2010;Venda Direta;Anormal;102776
713;120;Residencial (Baixa Dens.);40;4671;Pavimentada;Sem Acesso;Leve Irregular;Alto;Todas Disponíveis;Interno;Suave;StoneBr;Normal;Normal;Geminada (Extremidade);Térrea;8;5;1988;1989;Duas Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Boa;Média;Concreto;Boa;Média;Mínima;Alto Acabamento;767;Sem Acabamento;0;461;1228;Gás Forçado;Boa;Sim;Disjuntor;1228;0;0;1228;1;0;2;0;2;1;Boa;5;Típica;1;Boa;Anexada;1988;Acabado;2;472;Média;Média;Sim;168;120;0;0;0;0;;;;0;10;2008;Venda Direta;Normal;189000
714;190;Residencial (Baixa Dens.);60;9873;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;BrkSide;Ferrovia (Próximo);Normal;Casa para Duas Famílias;Térrea;4;5;1970;1970;Duas Águas;Asfalto;HdBoard;HdBoard;Tijolo;160;Média;Média;Blocos de Concreto;Média;Média;Média;Bom Acabamento;789;Sem Acabamento;0;171;960;Gás Radiante;Média;Não;Disjuntor;960;0;0;960;1;0;1;0;3;1;Média;6;Típica;0;;Separada;1970;Sem Acabamento;2;576;Média;Média;Sim;0;288;0;0;0;0;;;;0;5;2006;Venda Direta;Normal;129000
715;60;Residencial (Baixa Dens.);;13517;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Cul-de-sac;Suave;Sawyer;Ferrovia (Afastado);Normal;Casa Individual;Sobrado;6;8;1976;2005;Duas Águas;Asfalto;HdBoard;Plywood;Tijolo;289;Boa;Média;Blocos de Concreto;Média;Média;Nenhuma;Alto Acabamento;533;Sem Acabamento;0;192;725;Gás Forçado;Excelente;Sim;Disjuntor;725;754;0;1479;0;0;2;1;3;1;Boa;6;Típica;0;;Anexada;1976;Rústico;2;475;Média;Média;Sim;0;44;0;0;0;0;;;;0;3;2010;Venda Direta;Normal;130500
716;20;Residencial (Baixa Dens.);78;10140;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NWAmes;Normal;Normal;Casa Individual;Térrea;6;5;1974;1974;Quatro Águas;Asfalto;HdBoard;HdBoard;Tijolo;174;Média;Média;Blocos de Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1064;1064;Gás Forçado;Média;Sim;Disjuntor;1350;0;0;1350;0;0;2;0;3;1;Média;7;Típica;1;Média;Anexada;1974;Rústico;2;478;Média;Média;Sim;0;0;0;0;0;0;;Média Privativa;;0;8;2009;Venda Direta;Normal;165000
717;70;Residencial (Média Dens.);60;10800;Pavimentada;Cascalho;Regular;Levemente Inclinado;Todas Disponíveis;Interno;Suave;OldTown;Normal;Normal;Casa Individual;Sobrado;7;8;1890;1998;Duas Águas;Asfalto;Wd Sdng;VinylSd;Nenhum;0;Média;Boa;Tijolo;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;718;718;Gás Forçado;Excelente;Sim;Disjuntor;1576;978;0;2554;0;0;1;1;3;1;Média;8;Típica;0;;Separada;1996;Sem Acabamento;2;704;Média;Média;Parcial;0;48;143;0;0;0;;;;0;7;2007;Venda Direta;Normal;159500
718;20;Residencial (Baixa Dens.);80;10000;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NWAmes;Normal;Normal;Casa Individual;Térrea;5;6;1973;2000;Duas Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Média;Média;Blocos de Concreto;Boa;Média;Nenhuma;Baixo Acabamento;1084;Sem Acabamento;0;92;1176;Gás Forçado;Boa;Sim;Disjuntor;1178;0;0;1178;0;1;1;1;3;1;Boa;5;Típica;1;Fraca;Anexada;1973;Sem Acabamento;2;439;Média;Média;Sim;224;0;0;0;0;0;;Média Privativa;;0;11;2008;Venda Direta;Normal;157000
719;60;Residencial (Baixa Dens.);96;10542;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NoRidge;Normal;Normal;Casa Individual;Sobrado;7;5;1993;1994;Quatro Águas;Asfalto;Wd Sdng;ImStucc;Tijolo;651;Boa;Média;Concreto;Boa;Média;Boa;Alto Acabamento;1173;Sem Acabamento;0;138;1311;Gás Forçado;Excelente;Sim;Disjuntor;1325;1093;0;2418;1;0;2;1;3;1;Boa;9;Típica;1;Média;Anexada;1993;Rústico;3;983;Média;Média;Sim;250;154;216;0;0;0;;;;0;8;2008;Venda Direta;Normal;341000
720;20;Residencial (Baixa Dens.);69;9920;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Casa Individual;Térrea;5;6;1969;1969;Duas Águas;Asfalto;HdBoard;Plywood;Nenhum;0;Média;Média;Blocos de Concreto;Boa;Média;Boa;Bom Acabamento;523;Sem Acabamento;0;448;971;Gás Forçado;Média;Sim;Disjuntor;971;0;0;971;0;0;1;1;3;1;Média;5;Típica;1;Pobre;Anexada;1969;Sem Acabamento;1;300;Média;Média;Sim;0;0;0;0;0;0;;;;0;5;2006;Venda Direta;Normal;128500
721;120;Residencial (Baixa Dens.);;6563;Pavimentada;Sem Acesso;Leve Irregular;Baixo;Todas Disponíveis;Cul-de-sac;Moderada;StoneBr;Normal;Normal;Casa Individual;Térrea;8;5;1985;1985;Duas Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Boa;Média;Concreto;Boa;Média;Boa;Alto Acabamento;1148;Sem Acabamento;0;594;1742;Gás Forçado;Média;Sim;Disjuntor;1742;0;0;1742;1;0;2;0;2;1;Boa;5;Típica;1;Média;Anexada;1985;Rústico;2;564;Média;Média;Sim;114;28;234;0;0;0;;;;0;12;2006;Venda Direta;Normal;275000
722;120;Residencial (Média Dens.);;4426;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Geminada (Extremidade);Térrea;6;5;2004;2004;Duas Águas;Asfalto;VinylSd;VinylSd;Tijolo;169;Boa;Média;Concreto;Boa;Média;Média;Alto Acabamento;662;Sem Acabamento;0;186;848;Gás Forçado;Excelente;Sim;Disjuntor;848;0;0;848;1;0;1;0;1;1;Boa;3;Típica;0;;Anexada;2004;Rústico;2;420;Média;Média;Sim;160;0;0;0;0;0;;;;0;5;2010;Venda Direta;Normal;143000
723;20;Residencial (Baixa Dens.);70;8120;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;4;7;1970;1970;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Boa;Blocos de Concreto;Média;Média;Nenhuma;Bom Acabamento;191;Sem Acabamento;0;673;864;Gás Forçado;Excelente;Sim;Disjuntor;864;0;0;864;0;0;1;0;3;1;Média;5;Típica;0;;Separada;1994;Sem Acabamento;2;463;Média;Média;Sim;0;0;0;0;0;0;;;;0;7;2009;Venda Direta;Normal;124500
724;50;Residencial (Baixa Dens.);60;8172;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Edwards;Normal;Normal;Casa Individual;Mezanino Finalizado;4;6;1954;1972;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Média;Concreto;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;941;941;Gás Forçado;Excelente;Sim;Disjuntor;997;473;0;1470;0;0;2;0;4;1;Média;7;Típica;0;;Separada;1958;Sem Acabamento;1;548;Média;Média;Sim;0;0;0;0;156;0;;;;0;5;2008;Venda Direta;Normal;135000
725;20;Residencial (Baixa Dens.);86;13286;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;Edwards;Normal;Normal;Casa Individual;Térrea;9;5;2007;2008;Quatro Águas;Asfalto;CemntBd;CmentBd;Pedra;340;Excelente;Média;Concreto;Excelente;Média;Nenhuma;Alto Acabamento;1234;Sem Acabamento;0;464;1698;Gás Forçado;Excelente;Sim;Disjuntor;1698;0;0;1698;1;0;2;0;3;1;Excelente;8;Típica;1;Boa;Anexada;2007;Acabado;3;768;Média;Média;Sim;327;64;0;0;0;0;;;;0;2;2009;Venda Direta;Normal;320000
726;20;Residencial (Baixa Dens.);60;6960;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;4;6;1970;1970;Duas Águas;Asfalto;HdBoard;Plywood;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Bom Acabamento;375;Baixo Acabamento;239;250;864;Gás Forçado;Média;Sim;Disjuntor;864;0;0;864;0;0;1;0;3;1;Boa;5;Típica;0;;Separada;1989;Sem Acabamento;2;660;Média;Média;Sim;96;0;0;0;0;0;;;Galpão;500;11;2009;Venda Direta;Normal;120500
